,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Modified_Age,Modified_Cabin,Modified_Sex,Modified_Embarked
0,0,3,male,22.0,1,0,7.25,,S,20.0,1,0,0.0
1,1,1,female,38.0,1,0,71.2833,C85,C,30.0,4,1,2.0
2,1,3,female,26.0,0,0,7.925,,S,20.0,1,1,0.0
3,1,1,female,35.0,1,0,53.1,C123,S,30.0,4,1,0.0
4,0,3,male,35.0,0,0,8.05,,S,30.0,1,0,0.0
5,0,3,male,,0,0,8.4583,,Q,25.252100840336134,1,0,1.0
6,0,1,male,54.0,0,0,51.8625,E46,S,50.0,7,0,0.0
7,0,3,male,2.0,3,1,21.075,,S,0.0,1,0,0.0
8,1,3,female,27.0,0,2,11.1333,,S,20.0,1,1,0.0
9,1,2,female,14.0,1,0,30.0708,,C,10.0,1,1,2.0
10,1,3,female,4.0,1,1,16.7,G6,S,0.0,3,1,0.0
11,1,1,female,58.0,0,0,26.55,C103,S,50.0,4,1,0.0
12,0,3,male,20.0,0,0,8.05,,S,20.0,1,0,0.0
13,0,3,male,39.0,1,5,31.275,,S,30.0,1,0,0.0
14,0,3,female,14.0,0,0,7.8542,,S,10.0,1,1,0.0
15,1,2,female,55.0,0,0,16.0,,S,50.0,1,1,0.0
16,0,3,male,2.0,4,1,29.125,,Q,0.0,1,0,1.0
17,1,2,male,,0,0,13.0,,S,25.252100840336134,1,0,0.0
18,0,3,female,31.0,1,0,18.0,,S,30.0,1,1,0.0
19,1,3,female,,0,0,7.225,,C,25.252100840336134,1,1,2.0
20,0,2,male,35.0,0,0,26.0,,S,30.0,1,0,0.0
21,1,2,male,34.0,0,0,13.0,D56,S,30.0,8,0,0.0
22,1,3,female,15.0,0,0,8.0292,,Q,10.0,1,1,1.0
23,1,1,male,28.0,0,0,35.5,A6,S,20.0,2,0,0.0
24,0,3,female,8.0,3,1,21.075,,S,0.0,1,1,0.0
25,1,3,female,38.0,1,5,31.3875,,S,30.0,1,1,0.0
26,0,3,male,,0,0,7.225,,C,25.252100840336134,1,0,2.0
27,0,1,male,19.0,3,2,263.0,C23 C25 C27,S,10.0,4,0,0.0
28,1,3,female,,0,0,7.8792,,Q,25.252100840336134,1,1,1.0
29,0,3,male,,0,0,7.8958,,S,25.252100840336134,1,0,0.0
30,0,1,male,40.0,0,0,27.7208,,C,40.0,1,0,2.0
31,1,1,female,,1,0,146.5208,B78,C,25.252100840336134,6,1,2.0
32,1,3,female,,0,0,7.75,,Q,25.252100840336134,1,1,1.0
33,0,2,male,66.0,0,0,10.5,,S,60.0,1,0,0.0
34,0,1,male,28.0,1,0,82.1708,,C,20.0,1,0,2.0
35,0,1,male,42.0,1,0,52.0,,S,40.0,1,0,0.0
36,1,3,male,,0,0,7.2292,,C,25.252100840336134,1,0,2.0
37,0,3,male,21.0,0,0,8.05,,S,20.0,1,0,0.0
38,0,3,female,18.0,2,0,18.0,,S,10.0,1,1,0.0
39,1,3,female,14.0,1,0,11.2417,,C,10.0,1,1,2.0
40,0,3,female,40.0,1,0,9.475,,S,40.0,1,1,0.0
41,0,2,female,27.0,1,0,21.0,,S,20.0,1,1,0.0
42,0,3,male,,0,0,7.8958,,C,25.252100840336134,1,0,2.0
43,1,2,female,3.0,1,2,41.5792,,C,0.0,1,1,2.0
44,1,3,female,19.0,0,0,7.8792,,Q,10.0,1,1,1.0
45,0,3,male,,0,0,8.05,,S,25.252100840336134,1,0,0.0
46,0,3,male,,1,0,15.5,,Q,25.252100840336134,1,0,1.0
47,1,3,female,,0,0,7.75,,Q,25.252100840336134,1,1,1.0
48,0,3,male,,2,0,21.6792,,C,25.252100840336134,1,0,2.0
49,0,3,female,18.0,1,0,17.8,,S,10.0,1,1,0.0
50,0,3,male,7.0,4,1,39.6875,,S,0.0,1,0,0.0
51,0,3,male,21.0,0,0,7.8,,S,20.0,1,0,0.0
52,1,1,female,49.0,1,0,76.7292,D33,C,40.0,8,1,2.0
53,1,2,female,29.0,1,0,26.0,,S,20.0,1,1,0.0
54,0,1,male,65.0,0,1,61.9792,B30,C,60.0,6,0,2.0
55,1,1,male,,0,0,35.5,C52,S,25.252100840336134,4,0,0.0
56,1,2,female,21.0,0,0,10.5,,S,20.0,1,1,0.0
57,0,3,male,28.5,0,0,7.2292,,C,20.0,1,0,2.0
58,1,2,female,5.0,1,2,27.75,,S,0.0,1,1,0.0
59,0,3,male,11.0,5,2,46.9,,S,10.0,1,0,0.0
60,0,3,male,22.0,0,0,7.2292,,C,20.0,1,0,2.0
61,1,1,female,38.0,0,0,80.0,B28,,30.0,6,1,0.4645669291338583
62,0,1,male,45.0,1,0,83.475,C83,S,40.0,4,0,0.0
63,0,3,male,4.0,3,2,27.9,,S,0.0,1,0,0.0
64,0,1,male,,0,0,27.7208,,C,25.252100840336134,1,0,2.0
65,1,3,male,,1,1,15.2458,,C,25.252100840336134,1,0,2.0
66,1,2,female,29.0,0,0,10.5,F33,S,20.0,5,1,0.0
67,0,3,male,19.0,0,0,8.1583,,S,10.0,1,0,0.0
68,1,3,female,17.0,4,2,7.925,,S,10.0,1,1,0.0
69,0,3,male,26.0,2,0,8.6625,,S,20.0,1,0,0.0
70,0,2,male,32.0,0,0,10.5,,S,30.0,1,0,0.0
71,0,3,female,16.0,5,2,46.9,,S,10.0,1,1,0.0
72,0,2,male,21.0,0,0,73.5,,S,20.0,1,0,0.0
73,0,3,male,26.0,1,0,14.4542,,C,20.0,1,0,2.0
74,1,3,male,32.0,0,0,56.4958,,S,30.0,1,0,0.0
75,0,3,male,25.0,0,0,7.65,F G73,S,20.0,5,0,0.0
76,0,3,male,,0,0,7.8958,,S,25.252100840336134,1,0,0.0
77,0,3,male,,0,0,8.05,,S,25.252100840336134,1,0,0.0
78,1,2,male,0.83,0,2,29.0,,S,0.0,1,0,0.0
79,1,3,female,30.0,0,0,12.475,,S,30.0,1,1,0.0
80,0,3,male,22.0,0,0,9.0,,S,20.0,1,0,0.0
81,1,3,male,29.0,0,0,9.5,,S,20.0,1,0,0.0
82,1,3,female,,0,0,7.7875,,Q,25.252100840336134,1,1,1.0
83,0,1,male,28.0,0,0,47.1,,S,20.0,1,0,0.0
84,1,2,female,17.0,0,0,10.5,,S,10.0,1,1,0.0
85,1,3,female,33.0,3,0,15.85,,S,30.0,1,1,0.0
86,0,3,male,16.0,1,3,34.375,,S,10.0,1,0,0.0
87,0,3,male,,0,0,8.05,,S,25.252100840336134,1,0,0.0
88,1,1,female,23.0,3,2,263.0,C23 C25 C27,S,20.0,4,1,0.0
89,0,3,male,24.0,0,0,8.05,,S,20.0,1,0,0.0
90,0,3,male,29.0,0,0,8.05,,S,20.0,1,0,0.0
91,0,3,male,20.0,0,0,7.8542,,S,20.0,1,0,0.0
92,0,1,male,46.0,1,0,61.175,E31,S,40.0,7,0,0.0
93,0,3,male,26.0,1,2,20.575,,S,20.0,1,0,0.0
94,0,3,male,59.0,0,0,7.25,,S,50.0,1,0,0.0
95,0,3,male,,0,0,8.05,,S,25.252100840336134,1,0,0.0
96,0,1,male,71.0,0,0,34.6542,A5,C,70.0,2,0,2.0
97,1,1,male,23.0,0,1,63.3583,D10 D12,C,20.0,8,0,2.0
98,1,2,female,34.0,0,1,23.0,,S,30.0,1,1,0.0
99,0,2,male,34.0,1,0,26.0,,S,30.0,1,0,0.0
100,0,3,female,28.0,0,0,7.8958,,S,20.0,1,1,0.0
101,0,3,male,,0,0,7.8958,,S,25.252100840336134,1,0,0.0
102,0,1,male,21.0,0,1,77.2875,D26,S,20.0,8,0,0.0
103,0,3,male,33.0,0,0,8.6542,,S,30.0,1,0,0.0
104,0,3,male,37.0,2,0,7.925,,S,30.0,1,0,0.0
105,0,3,male,28.0,0,0,7.8958,,S,20.0,1,0,0.0
106,1,3,female,21.0,0,0,7.65,,S,20.0,1,1,0.0
107,1,3,male,,0,0,7.775,,S,25.252100840336134,1,0,0.0
108,0,3,male,38.0,0,0,7.8958,,S,30.0,1,0,0.0
109,1,3,female,,1,0,24.15,,Q,25.252100840336134,1,1,1.0
110,0,1,male,47.0,0,0,52.0,C110,S,40.0,4,0,0.0
111,0,3,female,14.5,1,0,14.4542,,C,10.0,1,1,2.0
112,0,3,male,22.0,0,0,8.05,,S,20.0,1,0,0.0
113,0,3,female,20.0,1,0,9.825,,S,20.0,1,1,0.0
114,0,3,female,17.0,0,0,14.4583,,C,10.0,1,1,2.0
115,0,3,male,21.0,0,0,7.925,,S,20.0,1,0,0.0
116,0,3,male,70.5,0,0,7.75,,Q,70.0,1,0,1.0
117,0,2,male,29.0,1,0,21.0,,S,20.0,1,0,0.0
118,0,1,male,24.0,0,1,247.5208,B58 B60,C,20.0,6,0,2.0
119,0,3,female,2.0,4,2,31.275,,S,0.0,1,1,0.0
120,0,2,male,21.0,2,0,73.5,,S,20.0,1,0,0.0
121,0,3,male,,0,0,8.05,,S,25.252100840336134,1,0,0.0
122,0,2,male,32.5,1,0,30.0708,,C,30.0,1,0,2.0
123,1,2,female,32.5,0,0,13.0,E101,S,30.0,7,1,0.0
124,0,1,male,54.0,0,1,77.2875,D26,S,50.0,8,0,0.0
125,1,3,male,12.0,1,0,11.2417,,C,10.0,1,0,2.0
126,0,3,male,,0,0,7.75,,Q,25.252100840336134,1,0,1.0
127,1,3,male,24.0,0,0,7.1417,,S,20.0,1,0,0.0
128,1,3,female,,1,1,22.3583,F E69,C,25.252100840336134,5,1,2.0
129,0,3,male,45.0,0,0,6.975,,S,40.0,1,0,0.0
130,0,3,male,33.0,0,0,7.8958,,C,30.0,1,0,2.0
131,0,3,male,20.0,0,0,7.05,,S,20.0,1,0,0.0
132,0,3,female,47.0,1,0,14.5,,S,40.0,1,1,0.0
133,1,2,female,29.0,1,0,26.0,,S,20.0,1,1,0.0
134,0,2,male,25.0,0,0,13.0,,S,20.0,1,0,0.0
135,0,2,male,23.0,0,0,15.0458,,C,20.0,1,0,2.0
136,1,1,female,19.0,0,2,26.2833,D47,S,10.0,8,1,0.0
137,0,1,male,37.0,1,0,53.1,C123,S,30.0,4,0,0.0
138,0,3,male,16.0,0,0,9.2167,,S,10.0,1,0,0.0
139,0,1,male,24.0,0,0,79.2,B86,C,20.0,6,0,2.0
140,0,3,female,,0,2,15.2458,,C,25.252100840336134,1,1,2.0
141,1,3,female,22.0,0,0,7.75,,S,20.0,1,1,0.0
142,1,3,female,24.0,1,0,15.85,,S,20.0,1,1,0.0
143,0,3,male,19.0,0,0,6.75,,Q,10.0,1,0,1.0
144,0,2,male,18.0,0,0,11.5,,S,10.0,1,0,0.0
145,0,2,male,19.0,1,1,36.75,,S,10.0,1,0,0.0
146,1,3,male,27.0,0,0,7.7958,,S,20.0,1,0,0.0
147,0,3,female,9.0,2,2,34.375,,S,0.0,1,1,0.0
148,0,2,male,36.5,0,2,26.0,F2,S,30.0,5,0,0.0
149,0,2,male,42.0,0,0,13.0,,S,40.0,1,0,0.0
